"USER_CODE";"USER_NAME";"REG_NO";"START_DATE";"END_DATE";"ADDRESS";"WEARH_ADDRESS";"SALES_PLACE";"LICENCE_TYPE";"DRINKS";"SALE_DAYS";"SALES_START";"SALES_END";"SALE_DAYS_ADDITIONAL";"SALE_START_ADDITIONAL";"SALE_END_ADDITIONAL";"X_KOORD";"Y_KOORD";"WGS_ILGUMA";"WGS_PLATUMA";"STREET_ID";"HOUSE_NR";"SENIUN_NR"
"122939287";"D. Ostrouch  Danvija";"079P00";"2001-02-08";;"Algirdo g. 35-11";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6060612";"582014";"25.271630";"54.675270";"17";"35";"17"
"2550742";"Pirmtakas";"081P00";"2001-02-09";;"Šviesos g. 3A, Grigiškės";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"2309254";"A. Zinovičiaus";"083P00";"2001-02-20";;"Pramonės g. 10b";"";"Parduotuvė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6062868";"591169";"25.414240";"54.693970";"430";"10";"14"
"122016232";"Džamina";"088P00";"2001-02-26";;"Laisvės pr. 125A, Vilnius";"";"Parduotuvė degalinėje";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru < 8,5 proc.";"";"I-VII";"00:00";"24:00:00";"";"";"";"6066441";"579586";"25.235580";"54.728020";"272";"125";"7"
"2178339";"Ruslano Platač Aprioris";"100V00";"2001-02-02";;"Lentvario g. 2a, Grigiškės";"";"Kavinė Neris";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6060220";"569753";"25.081470";"54.673600";"511";"2";"21"
"124848320";"Oldtaunas";"102V00";"2001-02-06";;"Rūdininkų g. 14";"";"Kavinė - bistro Oldtaunas";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"2549757";"Ramūno Stamulionio";"128V00";"2001-02-22";;"Antakalnio g. 39";"";"Kavinė - baras";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";"6063855";"584464";"25.310540";"54.704000";"23";"39";"13"
"122043119";"Geruda";"133V00";"2001-02-21";;"Gariūnų autocentre, muitinės tarnybos pastate (II a.)";"";"Kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"2447919";"Balsora";"066K00";"2001-02-01";;"Verkių g. prie Tėvynės kino teatro";"";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"122067013";"O. Vysockajos";"068K00";"2001-02-01";;"Parko g. 4, Vilnius";"Parko g. 4, Vilnius";"Paviljonas Nr. 4";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6062260";"591071";"25.412530";"54.688520";"399";"4";"14"
"123011626";"Sikstana";"069K00";"2001-02-01";;"Vaduvos g. 16, Vilnius";"Vaduvos g. 16, Vilnius, Buivydiškių g. 21, Zujūnai, Vilniaus r.";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6056503";"577798";"25.205180";"54.639030";"585";"16";"18"
"220087840";"LAK GKF";"073K00";"2001-02-05";;"Pramonės g., gr. Nr. 7";"";"Kioskas Nr. 1";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"123748413";"G. Jakubonio";"079K00";"2001-02-06";;"Prie pastato Ukmergės g. 220, Vilnius";"";"Prekybos paviljonas Nr.5";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"2193441";"Liftas";"139V00";"2001-03-01";;"J. Dobkevičiaus g. 8";"";"Valgykla - kavinė";"mažmeninė prekyba alkoholiniais gėrimais";"";"";"";"";"";"";"";;;;;;;
"2206003";"Šilaikienės Pasakyk visiems";"081K00";"2001-02-07";;"Nr. 1 prie spaudos kiosko Kalvarijų g. 90";"Nr. 1 prie spaudos kiosko Kalvarijų g. 90";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"187869445";"A. Lingės";"089K00";"2001-02-12";;"Liepkalnio g. 184, Vilnius";"";"Kioskas degalinės operatorinėje";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"I-VII";"00:00";"24:00:00";"";"";"";"6055073";"584384";"25.306760";"54.625120";"286";"184";"15"
"124498546";"Tatvida";"092K00";"2001-02-19";;"Ožkinių g. 63, Vilnius";"Ožkinių g. 63, Vilnius";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";"6071032";"587874";"25.365600";"54.767880";"838";"63";"1"
"8128322";"Č. Balčinskienės Miltis";"093K00";"2001-02-15";;"Nr. 5 Kovo 11-osios g. Grigiškės";"Nr. 5 Kovo 11-osios g. Grigiškės";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"124529148";"Rabelus";"096K00";"2001-02-15";;"Nr. 1 Metalo - Meistrų g.sankirtoje";"Nr. 1 Metalo - Meistrų g.sankirtoje";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"I-VII";"00:00";"24:00:00";"";"";"";;;;;;;
"2028038";"Prekybos namai 1045";"100K00";"2001-02-22";;"Nr. 2 Algirdo - Vivulskio g.kampe";"Nr. 2 Algirdo - Vivulskio g.kampe";"Kioskas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
"125215848";"Janinos Babkinos";"101K00";"2001-03-01";;"Europos parko ir Naujanerių g. sankirta, Vilnius";"Europos parko ir Naujanerių g. sankirta, Vilnius";"Paviljonas";"mažmeninė prekyba alumi ir natūralios fermentacijos sidru kurortinio, poilsio ir turizmo sezonų metu < 8,5 proc";"";"";"";"";"";"";"";;;;;;;
